CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
TQRMNOTWUHJNLTCDEIKAH00698501,2021,4,1,1,43,S,34,665,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,1,,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,24000,1,1.0,1,1.0,,1,8000.0,1,1.0,1,1.0,,1,589,1,0,2,0,0,0
TQRMNOPPYHMOMLCDEIKAH00710682,2021,4,1,1,43,S,34,486,1,,2,2,,5,1,2,1,,1,2,2,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,3,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,0,3,57500,4,4.0,4,4.0,,4,19166.67,3,3.0,3,3.0,,2,2259,1,0,2,3,0,0
TQRMNOQVXHMOMLCDEIKAH00719757,2021,4,1,1,43,S,34,697,1,,3,1,,1,2,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,78500,5,6.0,6,5.0,,6,39250.0,7,7.0,7,7.0,,7,3239,2,0,1,0,0,0
TQRMNORWWHKKMLCDEIKAH00694242,2021,4,1,1,43,S,34,576,1,,4,2,,4,1,1,1,,1,1,1,2,2,2,2,4,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,333500,10,10.0,10,10.0,,10,166750.0,10,10.0,10,10.0,,10,1176,1,0,2,0,0,0
TQRMNORWTHKMMMCDEIKAH00694278,2021,4,1,1,43,S,34,387,1,,2,1,,3,1,1,2,,1,1,1,2,2,2,2,2,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,85000,6,6.0,6,6.0,,6,85000.0,10,10.0,10,10.0,,10,424,1,0,98,0,0,0
TQRMNOSWPHLOKMCDEIOAH00720040,2021,4,1,1,43,N,38,139,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,1,2,0,2,0,3,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,110000,7,8.0,8,,8.0,8,55000.0,8,9.0,9,,9.0,9,148,1,0,98,0,0,0
TQRMNOSWXHLOKMCDEIOAH00720041,2021,4,1,1,43,N,38,163,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,0,2,40000,2,2.0,2,,2.0,2,20000.0,3,4.0,3,,4.0,3,194,2,0,98,0,0,0
TQRMNORTWHKMKMCDEIOAH00711170,2021,4,1,1,43,N,38,102,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,46000,3,3.0,3,,3.0,3,46000.0,8,8.0,8,,8.0,8,115,1,0,98,0,0,0
TQRMNORQXHKLKOCDEIOAH00710406,2021,4,1,1,43,N,38,256,2,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,4,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,1,3,160000,9,9.0,9,,9.0,10,40000.0,7,8.0,7,,8.0,7,278,2,0,1,0,0,0
TQRMNOQVVHLKKNCDEIOAH00720042,2021,4,1,1,43,N,38,213,1,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,65000,5,5.0,5,,5.0,5,65000.0,9,9.0,9,,9.0,9,256,1,0,98,0,0,0
