,CODUSU,NRO_HOGAR,AGLOMERADO,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II5_1,II6_1,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,IPCF,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco,genero,edad,cob_medica,NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind_sum,adulto_equivalente,pobreza,IV9,IV10,IV11,II4_1,II4_2,II4_3,II5,II6,II7,II8,II9
12611,TQRMNOQRTHLNKOCDEIHJF00718172,1,31,2,3,1,4,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,35000,35000.0,1,0,98,0,0,0,1,2,88,1,2,9,1,0.63,55555.56,0,1,1,1,1,2,2,2,2,1,1,1
12612,TQRMNOSWTHLMQNCDEIJAH00719542,1,33,1,2,1,4,2,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,40000,20000.0,1,2,98,0,0,0,1,2,57,1,2,9,4,1.76,22727.27,1,1,1,2,2,2,2,2,2,2,2,1
12613,TQRMNOQQWHJOKSCDEIMBF00695139,1,36,1,3,1,1,1,1,1,1,2,2,2,3,1,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,57000,28500.0,1,0,2,0,0,0,1,2,62,4,2,9,4,1.5,38000.0,0,1,1,1,1,2,2,2,2,8,2,1
12614,TQRMNOPXWHMOLMCDEIMBF00713535,1,36,1,1,1,2,1,1,1,1,2,2,2,1,1,2,0,0,0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,29000,29000.0,1,0,98,0,0,0,1,2,71,1,1,9,1,0.67,43283.58,0,1,1,2,1,2,2,2,2,3,2,1
12615,TQRMNOPXXHMOLMCDEIMBF00713536,1,36,1,1,1,2,1,1,1,1,2,2,2,1,1,2,0,0,0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,29000,29000.0,1,0,98,0,0,0,1,2,66,1,1,9,1,0.67,43283.58,0,1,1,2,1,2,2,2,2,3,2,1
12616,TQTMNORRSHMOLMCDEIMBF00713537,1,36,1,1,1,2,1,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,96480,48240.0,1,0,2,0,0,0,1,1,33,4,4,3,0,1.77,54508.47,0,1,1,2,1,2,2,2,2,2,2,1
12617,TQRMNORRSHMOLMCDEIMBF00713538,1,36,1,2,1,2,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,2,2,80000,20000.0,2,0,1,0,0,0,1,1,28,1,4,3,0,3.1,25806.45,0,1,1,2,1,2,2,2,2,2,2,1
12618,TQRMNOQSWHLMKRCDEIMBF00719965,1,36,1,2,1,2,1,1,1,1,2,1,2,2,1,2,0,0,0,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,22000,11000.0,1,0,98,0,0,0,1,2,61,4,1,9,4,1.5,14666.67,1,1,1,2,1,2,2,2,2,1,2,1
12619,TQRMNOTQUHLMKRCDEIMBF00719966,1,36,1,5,1,1,1,1,1,1,2,2,2,5,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,120000,60000.0,1,2,98,0,0,0,1,1,36,2,6,2,0,2.0,60000.0,0,1,1,1,1,2,1,2,2,3,1,1
12620,TQRMNOPYPHJLKUCDEIMBF00719967,1,36,2,3,1,9,1,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,6,2,4,195000,32500.0,1,0,98,0,0,0,1,2,35,1,3,3,0,4.87,40041.07,0,1,1,1,1,2,2,2,2,3,1,1
12621,TQRMNOQXRHJMLLCDEIMBF00702754,1,36,1,1,1,2,1,1,1,1,2,2,2,1,1,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,1,38500,38500.0,1,0,98,0,0,0,1,1,70,1,3,2,0,0.83,46385.54,0,1,1,1,1,2,2,2,2,3,1,1
12622,TQRMNOPWRHJNLUCDEGJBF00701842,1,13,1,5,1,2,1,1,1,1,2,2,2,5,4,2,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,10,3,7,209000,20900.0,2,0,4,0,0,0,1,1,58,1,2,3,0,7.76,26932.99,0,1,1,2,1,1,1,1,2,1,2,1
12623,TQRMNORSYHJMKNCDEOHCH00696821,1,91,1,4,4,9,1,1,1,1,2,2,2,4,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,0,2,20000,10000.0,1,0,98,0,0,0,1,2,28,1,3,2,0,1.52,13157.89,1,1,1,1,1,2,2,2,2,3,2,1
12624,TQRMNOQRRHKOKSCDEFOCD00660298,1,8,1,4,1,4,1,1,1,1,2,2,2,4,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,6,0,6,70000,11666.67,2,1,98,0,0,0,1,1,29,4,5,2,0,5.04,13888.89,1,1,2,2,1,2,1,2,2,1,2,1
12625,TQRMNOPPUHLOKPCDEFOCD00715563,1,8,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,55000,11000.0,1,3,98,0,0,0,1,2,45,4,2,2,0,4.0600000000000005,13546.8,1,1,1,3,1,2,2,2,2,1,2,1
12626,TQRMNOQUTHLOKPCDEFOCD00715564,1,8,1,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,70000,35000.0,1,0,98,0,0,0,1,2,51,4,3,2,0,1.78,39325.84,0,1,1,3,1,1,2,2,2,1,2,1
12627,TQRMNOQWPHMKKRCDEFOCD00713903,1,8,2,2,1,4,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,30000,30000.0,1,0,98,0,0,0,1,1,38,1,5,2,0,1.0,30000.0,0,1,1,1,2,2,2,2,2,8,2,1
12628,TQRMNOSWUHMKKRCDEFOCD00713006,1,8,1,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,30000,10000.0,1,2,98,0,0,0,1,1,37,1,3,9,0,2.41,12448.13,1,1,1,1,2,1,2,2,2,3,2,1
12629,TQRMNOPWXHKOKTCDEFOCD00660367,1,8,1,3,1,4,1,1,1,1,2,1,2,3,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,50000,25000.0,1,0,2,0,0,0,1,2,63,4,5,9,4,1.3,38461.54,0,1,1,1,1,1,2,2,2,1,2,1
12630,TQRMNOTQVHJLKQCDEFOCD00715565,1,8,2,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,3,1,2,72000,24000.0,1,0,98,0,0,0,1,2,26,4,5,3,0,2.15,33488.37,0,1,1,1,2,1,2,2,2,3,2,1
12631,TQRMNOPWYHJMKTCDEFOCD00715566,1,8,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,48000,16000.0,1,0,3,0,0,0,1,2,45,4,3,2,0,2.55,18823.53,1,1,1,1,1,1,2,2,2,3,2,1
12632,TQRMNOPTTHMOKUCDEFOCD00713026,1,8,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,27500,13750.0,1,2,98,0,0,0,1,1,21,4,3,2,0,1.78,15449.44,1,1,1,1,1,1,2,2,2,1,2,1
12633,TQRMNOPYRHLOKTCDEFOCD00715567,1,8,1,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,150000,50000.0,2,0,3,0,0,0,1,1,57,1,4,3,0,2.5300000000000002,59288.54,0,1,1,2,1,1,1,2,2,1,2,1
12634,TQRMNORQTHLOKTCDEFOCD00715568,1,8,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,129000,32250.0,1,0,3,0,0,0,1,2,56,1,2,9,1,3.21,40186.92,0,1,1,2,1,1,1,2,2,1,2,1
12635,TQRMNOPWYHMOLLCDEIMBF00713030,1,36,1,3,1,2,1,1,1,1,1,1,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,37000,37000.0,1,0,98,0,0,0,1,2,57,1,2,3,0,0.76,48684.21,0,1,1,1,1,1,1,2,2,4,1,1
12636,TQRMNOPXRHJLLMCDEGKDB00676318,1,14,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,135000,45000.0,2,0,98,0,0,0,1,1,32,1,6,2,0,2.14,63084.11,0,1,1,1,1,1,1,2,2,3,1,1
12637,TQRMNOSVQHMKKSCDEGIBJ00714026,1,12,1,3,1,3,1,1,1,1,2,2,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,80000,40000.0,1,2,98,0,0,0,1,2,26,1,6,3,0,1.78,44943.82,0,1,1,1,1,1,1,2,2,3,2,1
12638,TQRMNOQXYHMOKUCDEGIBJ00713068,1,12,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,5,0,5,165500,33100.0,2,0,1,0,0,0,1,1,51,1,4,3,0,4.8,34479.17,0,1,1,1,1,1,1,2,2,1,2,1
12639,TQRMNOTPUHMOKUCDEGIBJ00713070,1,12,1,4,1,1,1,1,1,1,1,1,2,4,3,2,0,0,0,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,5,0,5,26704,5340.8,1,0,4,0,0,0,1,2,52,4,1,2,0,4.27,6253.86,1,2,1,2,2,2,2,2,2,1,2,1
12640,TQRMNOQPWHJOLOCDEGIBJ00715980,1,12,1,3,2,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,88650,29550.0,1,2,3,0,0,0,1,1,60,1,2,9,4,2.44,36331.97,0,1,1,1,1,2,2,2,2,1,2,1
12641,TQRMNOQRQHLMLOCDEGIBJ00715981,1,12,1,2,1,4,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,2,39400,19700.0,1,2,98,0,0,0,1,1,26,4,4,3,0,1.78,22134.83,1,1,1,1,1,1,2,2,2,3,2,1
12642,TQRMNORWWHLMLOCDEGIBJ00715982,1,12,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,110000,36666.67,1,0,2,3,0,0,1,1,44,1,6,3,0,2.67,41198.5,0,1,1,1,1,1,2,2,2,1,2,1
12643,TQRMNOQSQHKMLNCDEGIBJ00660918,1,12,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,0,3,90000,30000.0,2,0,98,0,0,0,1,1,51,1,2,3,0,2.79,32258.06,0,1,1,1,1,1,2,2,2,8,2,1
12644,TQRMNOPYQHLMLUCDEGJBF00716262,1,13,2,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,100000,50000.0,2,0,98,0,0,0,1,1,33,1,6,3,0,1.76,56818.18,0,1,1,1,1,1,2,2,2,3,1,1
12645,TQRMNOQSUHJKLLCDEIIAD00690082,1,32,2,3,1,2,1,1,1,1,2,2,2,3,1,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,88000,88000.0,1,0,98,0,0,0,1,1,67,1,2,2,0,0.83,106024.1,0,1,1,1,1,2,2,2,2,1,1,1
12646,TQRMNORPXHMLLRCDEIIAD00712662,1,32,2,3,1,2,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,55000,27500.0,1,2,98,0,0,0,1,1,71,12,3,9,1,1.5,36666.67,0,1,1,1,1,2,2,2,2,3,1,1
12647,TQRMNORWXHKKKRCDEIIAD00718638,1,32,2,3,1,9,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,56000,56000.0,1,0,98,0,0,0,1,2,73,1,2,9,1,0.67,83582.09,0,1,1,1,1,2,2,2,2,1,1,1
12648,TQRMNORXTHLMLQCDEHMHF00717555,1,26,1,4,1,1,1,1,1,1,2,2,2,4,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,17000,17000.0,1,0,98,0,0,0,1,2,57,4,6,2,0,0.76,22368.42,1,1,1,1,1,2,1,2,2,1,1,1
12649,TQRMNORXUHLMLQCDEHMHF00717556,1,26,1,4,1,1,1,1,1,1,2,2,2,4,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,0,3,44050,14683.33,1,2,98,0,0,0,1,1,43,1,4,3,0,2.54,17342.52,1,1,1,1,1,2,2,2,2,1,1,1
12650,TQRMNOSRQHMMLQCDEHMHF00713117,1,26,1,4,1,1,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,7,1,6,107150,15307.14,2,4,5,6,0,0,1,1,67,1,1,9,1,5.63,19031.97,1,1,1,1,2,2,1,2,2,1,1,1
12651,TQRMNORWUHJNLQCDEHMHF00685368,1,26,1,3,1,1,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,0,1,16000,16000.0,1,0,98,0,0,0,1,1,51,1,1,9,1,1.0,16000.0,1,1,1,1,1,1,2,2,2,1,1,1
12652,TQRMNOSTTHLMLSCDEHJGH00717304,1,23,1,6,2,1,1,1,1,1,2,2,2,6,4,2,0,0,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,6,162000,20250.0,2,4,1,0,0,0,1,1,61,1,1,3,0,6.13,26427.41,0,1,1,1,2,2,1,2,1,1,1,1
